Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbit Semi-Major Axis [au],Planet Radius [Earth Radius],Planet Radius [Jupiter Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Data show Transit Timing Variations,Impact Parameter,Transit Duration [hours],Ratio of Planet to Stellar Radius,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc]
EPIC 249893012 d,EPIC 249893012,1,3,0,Transit,2020,0.95 m Kepler Telescope,Kepler CCD Array,0,35.747,0.22,3.94,0.352,10.18,0.03203,0.91,0.15,53.0,752.0,0,0.25,9.56,0.0211,5430.0,1.71,1.05,0.356,3.99,9.0,0.298,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296
GJ 1132 b,GJ 1132,1,2,0,Transit,2015,MEarth-South telescope array,Apogee CCD Sensor,0,1.62892911,0.0157,1.192,0.106,1.83705,0.00578,5.97,0.0118,19.3,584.0,0,0.504,0.76646,0.04943,3229.0,0.22,0.19,-2.321,5.04,5.0,25.3,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,12.613
GJ 1214 b,GJ 1214,1,1,0,Transit,2009,0.4 m MEarth Telescope,Apogee CCD Sensor,0,1.58040453,0.01505,2.733,0.244,8.41,0.02646,2.26,0.0062,17.2,567.0,0,0.264,0.86966,0.11589,3101.0,0.22,0.18,-2.409,5.03,3.0,25.41,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,14.6427
GJ 1252 b,GJ 1252,1,1,0,Transit,2020,0.1 m TESS Telescope,TESS CCD Array,0,0.5182331,0.00915,1.193,0.106,1.32,0.00415,4.2,0.0,233.0,1089.0,0,0.44,0.724,0.02802,3458.0,0.39,0.38,-1.708,4.89,3.9,8.99304,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.373
GJ 143 b,GJ 143,1,2,0,Transit,2019,0.1 m TESS Telescope,TESS CCD Array,0,35.61253,0.1915,2.61,0.233,22.7,0.07142,7.0,0.188,10.86,422.0,0,0.587,3.23,0.035,4640.0,0.7,0.73,-0.686,4.61,3.8,3.03,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,16.32
GJ 3470 b,GJ 3470,1,1,0,Radial Velocity,2012,3.6 m ESO Telescope,HARPS Spectrograph,0,3.3366496,0.0355,4.57,0.408,13.9,0.04373,0.8,0.017,40.58,594.0,0,0.4,1.8984,0.07642,3600.0,0.55,0.54,-1.538,4.7,1.65,3.3,07h59m05.64s,119.7735021,+15d23m28.35s,15.391209,29.4214
GJ 3929 b,GJ 3929,1,2,0,Transit,2022,0.1 m TESS Telescope,TESS CCD Array,0,2.616235,0.0252,1.09,0.097,1.75,0.00551,7.3,0.0,17.3,568.0,0,0.11,1.19,0.0156,3384.0,0.32,0.31,-1.963,4.89,7.1,13.3,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095
GJ 436 b,GJ 436,1,1,0,Radial Velocity,2004,10 m Keck I Telescope,HIRES Spectrometer,0,2.64388312,0.0291,4.17,0.372,22.1,0.07,1.8,0.13827,29.43,686.0,0,0.736,1.00536,0.0822,3586.11,0.46,0.47,-1.585,4.79,6.0,7.0,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,9.75321
GJ 486 b,GJ 486,1,1,0,Radial Velocity,2021,3.5 m telescope,CARMENES,0,1.4671205,0.01713,1.343,0.12,3.0,0.00944,6.79,0.0,41.3,706.0,0,0.21,1.083,0.03635,3291.0,0.34,0.33,-1.916,4.82,4.0,11.57,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,8.07426
GJ 9827 b,GJ 9827,1,3,0,Transit,2017,0.95 m Kepler Telescope,Kepler CCD Array,0,1.208974,0.0189,1.44,0.128,4.28,0.01347,7.858,0.063,318.0,1035.0,0,0.3,1.25976,0.024,4236.0,0.58,0.62,-0.942,4.72,5.465,3.97,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661
GJ 9827 c,GJ 9827,1,3,0,Transit,2017,0.95 m Kepler Telescope,Kepler CCD Array,0,3.648103,0.0395,1.13,0.101,1.86,0.00585,7.142,0.094,73.0,716.0,0,0.23,1.8264,0.01887,4236.0,0.58,0.62,-0.942,4.72,5.465,3.76,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661
GJ 9827 d,GJ 9827,1,3,0,Transit,2017,0.95 m Kepler Telescope,Kepler CCD Array,0,6.201812,0.0563,1.89,0.169,3.02,0.0095,2.454,0.13,36.0,600.0,0,0.85,1.2264,0.03093,4236.0,0.58,0.62,-0.942,4.72,5.465,3.76,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661
GPX-1 b,GPX-1,1,1,0,Transit,2021,279mm RASA-11 wide-field telescope,FLI ML16200 camera,0,1.744579,0.0338,16.477,1.47,6261.21962,19.7,8.222423,0.0,4650.0,2300.0,0,0.82,2.09,0.095,7000.0,1.56,1.68,0.727,4.27,0.27,0.62032,02h33m28.60s,38.3691648,+56d01m32.55s,56.025708,655.013
Gliese 12 b,Gliese 12,1,1,0,Transit,2024,0.1 m TESS Telescope,TESS CCD Array,0,12.761408,0.0668,0.958,0.085,3.87,0.01218,17.7,0.5,1.62,315.0,0,0.759,1.2,0.0336,3296.0,0.26,0.24,-2.138,5.21,7.0,13.5,00h15m49.90s,3.9579137,+13d33m27.42s,13.5576175,12.21
HAT-P-1 b,HAT-P-1,2,1,0,Transit,2006,Canon 200mm f/1.8L,2K CCD Sensor,0,4.46529976,0.05561,14.785,1.319,166.86075,0.525,0.282,0.0,243.7,1322.0,0,0.7501,2.85,0.11802,5980.0,1.17,1.15,0.225,4.36,3.6,0.908,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,158.979
HAT-P-11 b,HAT-P-11,1,2,0,Transit,2008,Canon 200mm f/1.8L,2K CCD Sensor,0,4.88780244,0.05254,4.36,0.389,26.69772,0.084,1.68,0.218,100.77,838.0,0,0.026,2.36386,0.05799,4780.0,0.68,0.81,-0.567,4.66,6.5,3.70008,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647
HAT-P-12 b,HAT-P-12,1,1,0,Transit,2009,Canon 200mm f/1.8L,2K CCD Sensor,0,3.2130598,0.0384,10.749,0.959,67.059,0.211,0.3192,0.0,118.08,963.0,0,0.211,2.3376,0.1406,4650.0,0.7,0.73,-0.678,4.61,2.5,3.10867,13h57m33.27s,209.3886452,+43d29m35.92s,43.49331,142.751
HAT-P-13 b,HAT-P-13,1,2,0,Transit,2009,Canon 200mm f/1.8L,2K CCD Sensor,0,2.91625,0.04383,14.258,1.272,270.462,0.851,0.362,0.0133,1978.52,1740.0,1,0.679,3.28681,0.08389,5653.0,1.76,1.32,0.346,4.13,5.0,0.23563,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81
HAT-P-14 b,HAT-P-14,2,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,4.62767,0.0596,15.917,1.42,1093.3352,3.44,1.56,0.11,1038.78,1624.0,0,0.9072,2.1888,0.0793,6600.0,1.82,2.65,0.644,4.25,1.6,0.62,17h20m27.88s,260.1161719,+38d14m31.81s,38.2421682,222.663
HAT-P-15 b,HAT-P-15,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,10.8635,0.0965,11.882,1.06,616.5902,1.94,1.96,0.19,79.76,904.0,0,0.342,5.484,0.1019,5568.0,1.07,1.0,0.0,4.38,6.8,1.14,04h24m59.55s,66.248142,+39d27m38.17s,39.460602,192.516
HAT-P-16 b,HAT-P-16,3,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,2.77596,0.0413,14.448,1.289,1332.605,4.193,2.42,0.036,1186.35,1626.0,0,0.439,3.0624,0.1071,6158.0,1.24,1.22,0.294,4.34,2.0,1.104,00h38m17.53s,9.5730343,+42d27m47.15s,42.4630961,226.637
HAT-P-17 b,HAT-P-17,1,2,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,10.33852,0.0882,11.769,1.05,184.3414,0.58,0.64,0.35,65.68,792.0,0,0.311,4.056,0.1238,5246.0,0.87,0.99,-0.289,4.53,7.8,2.08,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.3831
HAT-P-18 b,HAT-P-18,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,5.508023,0.0559,11.153,0.995,62.61,0.197,0.25,0.084,82.24,852.0,0,0.324,2.7144,0.1365,4803.0,0.75,0.77,-0.569,4.57,12.4,2.94,17h05m23.13s,256.346376,+33d00m44.37s,33.0123251,161.4
HAT-P-19 b,HAT-P-19,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,4.00878322,0.04599,11.299,1.008,88.03847,0.277,0.335,0.07,154.0,981.0,0,0.404,2.8368,0.1346,4962.0,0.77,0.81,-0.485,4.57,7.2,2.468,00h38m03.98s,9.5165832,+34d42m41.05s,34.7114025,202.078
HAT-P-2 b,HAT-P-2,1,2,0,Transit,2007,Canon 200mm f/1.8L,2K CCD Sensor,0,5.6335158,0.06814,10.66,0.951,2866.81223,9.02,7.29,0.5172,588.52,1540.0,0,0.457,4.2888,0.0678,6380.0,1.39,1.33,0.53,4.16,1.44,0.434,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601,127.774
HAT-P-20 b,HAT-P-20,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,2.875317,0.0361,9.718,0.867,2302.899,7.246,13.78,0.015,85.12,970.0,0,0.631,1.848,0.1284,4595.0,0.69,0.76,-0.721,4.63,6.7,2.36,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,71.0374
HAT-P-21 b,HAT-P-21,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,4.12448,0.0494,12.442,1.11,1547.8321,4.87,4.6,0.23,459.54,1283.0,0,0.611,3.672,0.095,5588.0,1.21,1.24,0.025,4.33,10.2,1.0,11h25m05.98s,171.2749348,+41d01m40.87s,41.0280207,277.278
HAT-P-22 b,HAT-P-22,2,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,3.21222,0.0414,12.89,1.15,785.0401,2.47,2.14,0.02,325.57,1463.0,0,0.466,2.653,0.1065,5302.0,1.11,1.13,-0.114,4.36,12.4,1.16,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,81.7647
HAT-P-23 b,HAT-P-23,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,1.212884,0.0232,15.334,1.368,664.237,2.09,1.01,0.106,2796.23,2056.0,0,0.324,2.1792,0.1169,5905.0,1.2,1.13,0.199,4.33,4.0,1.204,20h24m29.74s,306.1239076,+16d45m43.73s,16.7621462,364.813
HAT-P-24 b,HAT-P-24,2,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,3.35524,0.04651,14.572,1.3,238.3725,0.75,0.44,0.07,1047.12,1637.0,0,0.189,3.694,0.1,6373.0,1.38,1.37,0.408,4.27,2.8,0.74,07h15m18.03s,108.8251171,+14d15m45.38s,14.2626064,415.344
HAT-P-25 b,HAT-P-25,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,3.65281514,0.0466,12.722,1.135,180.84527,0.569,0.483,0.023,325.0,1182.0,0,0.347,2.81304,0.1269,5519.0,0.92,1.01,-0.152,4.52,3.2,1.84,03h13m44.51s,48.4354731,+25d11m50.48s,25.1973548,300.384
HAT-P-26 b,HAT-P-26,1,1,0,Transit,2010,Canon 200mm f/1.8L,2K CCD Sensor,0,4.23452,0.0479,7.062,0.63,22.2481,0.07,0.4,0.12,185.07,1001.0,0,0.303,2.4552,0.0737,5079.0,0.87,1.12,-0.359,4.56,9.0,2.37,14h12m37.57s,213.1565508,+04d03m33.90s,4.0594175,141.837
HAT-P-27 b,HAT-P-27,2,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,3.039577,0.04,11.43,1.02,197.05,0.62,0.76,0.0,336.04,1092.0,0,0.87,1.68,0.12,5316.0,0.86,0.92,-0.269,4.53,4.4,1.99758,14h51m04.16s,222.7673221,+05d56m50.51s,5.9473626,199.173
HAT-P-28 b,HAT-P-28,1,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,3.257215,0.0434,13.585,1.212,198.953,0.626,0.44,0.051,554.71,1384.0,0,0.299,3.2184,0.113,5680.0,1.1,1.03,0.053,4.36,6.1,1.24374,00h52m00.22s,13.0009159,+34d43m42.25s,34.728402,401.319
HAT-P-29 b,HAT-P-29,2,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,5.72319,0.0667,13.115,1.17,279.6904,0.88,0.79,0.09,433.0,1271.0,0,0.591,3.8928,0.0885,6087.0,1.3,1.45,0.272,4.34,2.2,0.93,02h12m31.46s,33.1310921,+51d46m43.59s,51.7787754,313.576
HAT-P-3 b,HAT-P-3,2,1,0,Transit,2007,Canon 200mm f/1.8L,2K CCD Sensor,0,2.8997,0.03866,10.536,0.94,206.5895,0.65,0.855,0.0,176.59,1189.0,0,0.574,2.087,0.1094,5185.0,0.87,1.06,-0.36,4.56,1.6,2.28,13h44m22.56s,206.0940142,+48d01m42.83s,48.028565,134.554
HAT-P-30 b,HAT-P-30,2,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,2.8106,0.0419,16.141,1.44,263.7989,0.83,0.309,0.04,813.66,1630.0,0,0.854,2.1288,0.1109,6304.0,1.31,1.55,0.312,4.36,1.0,0.98,08h15m47.96s,123.9498431,+05d50m12.72s,5.8368669,213.985
HAT-P-31 b,HAT-P-31,1,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,5.00542,0.061,12.218,1.09,721.4741,2.27,2.18,0.25,746.9,1450.0,0,0.723,4.9057646,0.0913,6065.0,1.39,1.31,0.433,4.26,3.17,0.69,18h06m09.04s,271.5376722,+26d25m35.78s,26.4266061,344.05
HAT-P-32 b,HAT-P-32,2,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,2.1500082,0.03397,22.194,1.98,216.1244,0.68,0.108,0.159,1841.0,1836.0,0,0.083,3.12048,0.14886,6001.0,1.37,1.13,0.338,4.22,2.7,0.625,02h04m10.26s,31.0427614,+46d41m16.26s,46.6878512,289.205
HAT-P-33 b,HAT-P-33,2,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,3.47447,0.04995,20.737,1.85,292.4036,0.92,0.2,0.0,1701.38,1782.0,0,0.325,4.4136,0.1058,6446.0,1.79,1.82,0.618,4.15,2.3,0.45,07h32m44.22s,113.1842383,+33d50m06.08s,33.8350214,396.11
HAT-P-34 b,HAT-P-34,1,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,5.452654,0.06774,13.417,1.197,1058.3739,3.33,2.5,0.432,433.78,1520.0,0,0.126,3.1752,0.0818,6442.0,1.53,1.39,0.6,4.21,1.7,0.505,20h12m46.90s,303.1954355,+18d06m17.20s,18.1047776,249.325
HAT-P-35 b,HAT-P-35,3,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,3.646706,0.04978,14.93,1.332,335.62848,1.056,0.55,0.02,999.67,1581.0,0,0.357,3.936,0.0954,6096.0,1.44,1.24,0.383,4.21,3.5,0.59,08h13m00.17s,123.250703,+04d47m13.30s,4.7870288,506.965
HAT-P-36 b,HAT-P-36,1,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,1.32734683,0.0241,14.314,1.277,587.41341,1.8482,1.175,0.063,1821.0,1781.0,0,0.25,2.232,0.1199,5620.0,1.04,1.03,0.022,4.42,6.6,1.089,12h33m03.89s,188.2662048,+44d54m55.32s,44.9153672,294.419
HAT-P-37 b,HAT-P-37,1,1,0,Transit,2011,Canon 200mm f/1.8L,2K CCD Sensor,0,2.797436,0.0379,13.204,1.178,371.528,1.169,0.89,0.058,412.39,1271.0,0,0.505,2.3304,0.1378,5500.0,0.88,0.93,-0.208,4.51,3.6,1.87,18h57m11.05s,284.2960393,+51d16m08.84s,51.2691212,390.594
HAT-P-38 b,HAT-P-38,1,1,0,Transit,2012,Canon 200mm f/1.8L,2K CCD Sensor,0,4.640382,0.0523,9.247,0.825,84.857,0.267,0.59,0.067,243.03,1082.0,0,0.372,3.0408,0.0918,5330.0,0.92,0.89,-0.208,4.37,10.1,1.20784,02h21m32.04s,35.3834942,+32d14m45.76s,32.2460441,255.206
HAT-P-39 b,HAT-P-39,2,1,0,Transit,2012,Canon 200mm f/1.8L,2K CCD Sensor,0,3.54387,0.0509,17.609,1.571,190.372,0.599,0.19,0.0,1319.04,1752.0,0,0.349,4.188,0.0993,6430.0,1.62,1.4,0.607,4.07,2.0,0.34949,07h35m01.98s,113.7582526,+17d49m48.10s,17.8300283,697.004
HAT-P-4 b,HAT-P-4,2,1,0,Transit,2007,Canon 200mm f/1.8L,2K CCD Sensor,0,3.056536,0.04438,14.28,1.274,213.255,0.671,0.403,0.0,1438.0,1686.0,0,0.01,4.224,0.082,5860.0,1.62,0.56,0.431,4.14,3.9,0.437,15h19m57.89s,229.99122,+36d13m46.36s,36.229545,320.451
HAT-P-40 b,HAT-P-40,1,1,0,Transit,2012,Canon 200mm f/1.8L,2K CCD Sensor,0,4.45724,0.0608,17.038,1.52,152.5584,0.48,0.15,0.0,1747.42,1770.0,0,0.174,6.1368,0.0807,6080.0,1.94,1.03,0.778,3.93,2.7,0.2,22h22m03.10s,335.5129199,+45d27m26.43s,45.4573423,464.469
HAT-P-41 b,HAT-P-41,2,1,0,Transit,2012,Canon 200mm f/1.8L,2K CCD Sensor,0,2.69405,0.04258,22.978,2.05,378.2177,1.19,0.204,0.0,2485.07,1941.0,0,0.222,3.6552,0.1049,6390.0,2.05,2.56,0.628,4.14,2.2,0.42,19h49m17.44s,297.3226523,+04d40m20.68s,4.6724124,348.185
HAT-P-42 b,HAT-P-42,1,1,0,Transit,2012,Canon 200mm f/1.8L,2K CCD Sensor,0,4.641878,0.0575,14.348,1.28,331.801,1.044,0.61,0.0,469.05,1428.0,0,0.577,4.0344,0.086,5743.0,1.53,1.18,0.356,4.14,5.2,0.52838,09h01m22.65s,135.3443583,+06d05m49.50s,6.0970828,405.238
HAT-P-43 b,HAT-P-43,1,1,0,Transit,2012,Canon 200mm f/1.8L,2K CCD Sensor,0,3.3326414,0.0444,13.63,1.216,210.395,0.662,0.39,0.21,521.88,1353.0,0,0.07,3.125,0.1158,5693.0,1.08,1.03,0.06,4.38,5.7,1.05193,08h35m42.17s,128.9256885,+10d12m23.71s,10.2065866,528.825
HAT-P-44 b,HAT-P-44,1,2,0,Transit,2014,Canon 200mm f/1.8L,2K CCD Sensor,0,4.301219,0.0507,13.922,1.242,111.871,0.352,0.23,0.044,185.12,1108.0,0,0.172,3.1248,0.1343,5295.0,0.95,0.94,-0.194,4.46,7.5,1.09993,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826,347.85
HAT-P-49 b,HAT-P-49,1,1,0,Transit,2014,Canon 200mm f/1.8L,2K CCD Sensor,0,2.69155,0.04378,17.822,1.59,699.226,2.2,0.75,0.0,4243.28,2131.0,0,0.34,4.2401266,0.0792,6820.0,2.06,2.22,0.814,4.1,1.5,0.36,20h21m45.92s,305.4413294,+26d41m33.63s,26.6926759,350.351
