Table Label,Description
Stellar Rotational Velocity [km/s],"Rotational velocity at the equator of the star 
multiplied by the sine of the inclination"
Stellar Rotational Velocity [km/s],Reference of publication used for given parameter set
Stellar Rotational Period [days],"The time required for the planet host star to 
complete one rotation, assuming it is a solid body"
Stellar Rotational Period [days] Reference,Reference of publication used for given parameter set
Systemic Radial Velocity [km/s],Velocity of the star in the direction of the line of sight
Systemic Radial Velocity [km/s] Reference,Reference of publication used for given parameter set
Total Proper Motion [mas/yr],"Angular change in position over time as seen 
from the center of mass of the Solar System"
Total Proper Motion [mas/yr] Reference,Reference of publication used for given parameter set
Proper Motion (RA) [mas/yr],"Angular change in right ascension over time as 
seen from the center of mass of the Solar System"
Proper Motion (RA) [mas/yr] Reference,Reference of publication used for given parameter set
Proper Motion (Dec) [mas/yr],"Angular change in declination over time as seen 
from the center of mass of the Solar System"
Proper Motion (Dec) [mas/yr],Reference of publication used for given parameter set
Distance [pc],Distance to the planetary system in units of parsecs
Distance [pc] Reference,Reference of publication used for given parameter set
Parallax [mas],"Difference in the angular position of a star as measured 
at two opposite positions within the Earth's orbit"
Parallax [mas] Reference,Reference of publication used for given parameter set
Number of Notes,"Number of Notes associated with the planet. 
View all notes in the Confirmed Planet Overview page."
RA [sexagesimal],"Right Ascension of the planetary 
system in sexagesimal format"
Dec [sexagesimal],"Declination of the planetary 
system in sexagesimal notation"
RA [decimal],"Right Ascension of the planetary 
system in decimal degrees"
RA [decimal] Reference,Reference of publication used for given parameter set
Dec [decimal],"Declination of the planetary 
system in decimal degrees"
Galactic Latitude [deg],"Galactic latitude of the planetary 
system in units of decimal degrees"
Galactic Longitude [deg],"Galactic longitude of the planetary 
system in units of decimal degrees"
Ecliptic Latitude [deg],"Ecliptic latitude of the planetary 
system in units of decimal degrees"
Ecliptic Longitude [deg],"Ecliptic longitude of the planetary system 
in units of decimal degrees"
B (Johnson) Magnitude,"Brightness of the host star as measured using 
the B (Johnson) band in units of magnitudes"
B (Johnson) Magnitude,Reference of publication used for given parameter set
V (Johnson) Magnitude,"Brightness of the host star as measured using 
the V (Johnson) band in units of magnitudes"
V (Johnson) Magnitude,Reference of publication used for given parameter set
J (2MASS) Magnitude,"Brightness of the host star as measured using 
the J (2MASS) band in units of magnitudes"
J (2MASS) Magnitude Reference,Reference of publication used for given parameter set
H (2MASS) Magnitude,"Brightness of the host star as measured using 
the H (2MASS) band in units of magnitudes"
H (2MASS) Magnitude Reference,Reference of publication used for given parameter set
Ks  (2MASS) Magnitude,"Brightness of the host star as measured using 
the K (2MASS) band in units of magnitudes"
Ks (2MASS) Magnitude Reference,Reference of publication used for given parameter set
u  (Sloan) Magnitude,"Brightness of the host star as measured using the 
Sloan Digital Sky Survey (SDSS) u band, in units 
of magnitudes"
u (Sloan) Magnitude Reference,Reference of publication used for given parameter set
g (Sloan) Magnitude,"Brightness of the host star as measured using the 
Sloan Digital Sky Survey (SDSS) g band, in units 
of magnitudes"
g (Sloan) Magnitude,Reference of publication used for given parameter set
r (Sloan) Magnitude,"Brightness of the host star as measured using the 
Sloan Digital Sky Survey (SDSS) r band, in units 
of magnitudes"
r (Sloan) Magnitude,Reference of publication used for given parameter set
i (Sloan) Magnitude,"Brightness of the host star as measured using the 
Sloan Digital Sky Survey (SDSS) i band, in units 
of magnitudes"
i (Sloan) Magnitude,Reference of publication used for given parameter set
z (Sloan) Magnitude,"Brightness of the host star as measured using 
the Sloan Digital Sky Survey (SDSS) z band, 
in units of magnitudes"
z (Sloan) Magnitude Reference,Reference of publication used for given parameter set
W1 (WISE) Magnitude,"Brightness of the host star as measured using 
the 3.4um (WISE) band in units of magnitudes."
W1 (WISE) Magnitude Reference,Reference of publication used for given parameter set
W2 (WISE) Magnitude,"Brightness of the host star as measured using the 
4.6um (WISE) band in units of magnitudes."
W2 (WISE) Magnitude Reference,Reference of publication used for given parameter set
W3 (WISE) Magnitude,"Brightness of the host star as measured using 
the 12.um (WISE) band in units of magnitudes"
W3 (WISE) Magnitude Reference,Reference of publication used for given parameter set
W4 (WISE) Magnitude,"Brightness of the host star as measured using 
the 22.um (WISE) band in units of magnitudes"
W4 (WISE) Magnitude Reference,Reference of publication used for given parameter set
Gaia Magnitude,"Brightness of the host star as measuring using the 
Gaia band in units of magnitudes. Objects matched 
to Gaia using the Hipparcos or 2MASS IDs provided 
in Gaia DR2."
Gaia Magnitude Reference,Reference of publication used for given parameter set
I (Cousins) Magnitude,"Brightness of the host star as measured using 
the I (Cousins) band in units of magnitudes."
I (Cousins) Magnitude Reference,Reference of publication used for given parameter set
TESS Magnitude,"Brightness of the host star as measured using 
the TESS bandpass, in units of magnitudes"
TESS Magnitude Reference,Reference of publication used for given parameter set
Kepler Magnitude,"Brightness of the host star as measured using 
the Kepler bandpass, in units of magnitudes"
Kepler Magnitude Reference,Reference of publication used for given parameter set
Date of Last Update,Date of last update of the planet parameters
Planetary Parameter Reference Publication,Date of the publication of the given planet parameter set
Release Date,"Date that the given planet parameter set was 
publicly released by the NASA Exoplanet Archive"
Number of Photometry Time Series,"Number of photometric time series records, including 
         planet transit light curves, general transit light curves, 
         and amateur light curves."
Number of Radial Velocity Time Series,"Number of literature radial velocity curves available 
for this star in the NASA Exoplanet Archive."
Number of Transmission Spectroscopy Measurements,"Number of literature transmission spectrum measurements 
for this planet in the NASA Exoplanet Archive"
Number of Eclipse Spectroscopy Measurements,"Number of literature eclipse spectrum measurements 
for this planet in the NASA Exoplanet Archive"
Number of Stellar Spectra Measurements,"Number of literature spectra available for 
this star in the NASA Exoplanet Archive"
Number of Direct Imaging Spectroscopy Measurements,"Number of literature direct imaging spectrum measurements 
for this planet in the NASA Exoplanet Archive"
