pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_telescope,disc_instrument,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_imppar,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,0.95 m Kepler Telescope,Kepler CCD Array,0,406.00000000,0.920000,13.400,1.200,603.87700,1.90000,1.380000,0.330000,,,0,,,,,29564.00,0.20,0.48,1.450,5.51,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,Imaging,2024,1.45 m x 0.5 m Telescope,Gaia CCD array,0,,7493.000000,12.400,1.100,3813.94088,12.00000,11.000000,,,1616,0,,,,,3592.00,0.67,0.64,-1.168,4.59,,2.98068,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,10 m Keck II Telescope,NIRC2 Camera,0,,230.000000,12.300,1.100,3972.87500,12.50000,11.700000,,,,0,,,,K7 V,4045.00,0.64,0.60,-1.021,4.62,0.120,3.36994,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,2009,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,13.000000,0.290000,,,0,,,,F6 V,6331.00,1.41,1.93,0.381,4.43,0.910,0.74300,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000
4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,270.27000000,0.877000,12.600,1.120,2511.48007,7.90200,6.900000,0.453000,,,0,,,,K1 III,4415.00,18.11,1.23,2.062,1.80,4.604,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000
42 Dra b,42 Dra,2,1,0,Radial Velocity,2008,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,3.080000,0.380000,,,0,,,,K1.5 III,4200.00,22.03,0.98,2.155,1.71,9.490,,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000
47 UMa b,47 UMa,1,3,0,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,1.920000,0.032000,,,0,,,,G0 V,5872.00,1.21,1.06,0.198,4.30,6.480,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa c,47 UMa,1,3,0,Radial Velocity,2001,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,0.329000,0.098000,,,0,,,,G1 V,5872.00,1.21,1.06,0.198,4.30,6.480,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa d,47 UMa,1,3,0,Radial Velocity,2009,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,1.160000,0.160000,,,0,,,,G0V,5872.00,1.21,1.06,0.198,4.30,6.480,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
51 Eri b,51 Eri,3,1,0,Imaging,2015,8.19 m Gemini South Telescope,Gemini Planet Imager,0,11688.00000000,13.200000,13.400,1.190,635.66000,2.00000,1.450000,0.450000,,700,0,,,,F0 IV,7295.00,1.49,1.75,0.850,4.31,0.020,0.70712,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000
51 Peg b,51 Peg,1,1,0,Radial Velocity,1995,1.93 m Telescope,ELODIE Spectrograph,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,0.275000,0.013000,,,0,,,,G5V,5758.00,1.18,1.03,0.136,4.31,10.000,0.89374,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,0.540000,0.000000,,700,0,,,,K0 IV-V,5172.00,0.94,0.91,-0.197,4.43,5.500,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,2004,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,0.486000,0.030000,,,0,,,,G8V,5172.00,0.94,0.91,-0.197,4.43,10.200,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,2002,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,3.080000,0.130000,,,0,,,,G8 V,5172.00,0.94,0.91,-0.197,4.43,5.500,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,2004,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,6.660000,0.050000,2657.83,1958,0,0.3900,1.5550160,0.01820,G8 V,5172.00,0.94,0.91,-0.197,4.43,10.200,1.52120,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,2007,Multiple Telescopes,Multiple Instruments,0,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,0.563000,0.080000,,,0,,,,G8V,5172.00,0.94,0.91,-0.197,4.43,10.200,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,2008,1.88 m Telescope,HIDES Echelle Spectrograph,0,919.86000000,2.028000,13.400,1.200,597.83523,1.88100,1.370000,0.042000,,,0,,,,K0 IV,4941.00,4.94,1.32,1.119,3.16,2.353,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000
61 Vir b,61 Vir,1,3,0,Radial Velocity,2009,Multiple Telescopes,Multiple Instruments,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,2.980000,0.120000,,,0,,,,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.960,1.44933,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir c,61 Vir,1,3,0,Radial Velocity,2009,Multiple Telescopes,Multiple Instruments,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,1.130000,0.140000,,,0,,,,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.960,1.44933,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir d,61 Vir,1,3,0,Radial Velocity,2009,Multiple Telescopes,Multiple Instruments,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,0.943000,0.350000,,,0,,,,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.960,1.44933,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
7 CMa b,7 CMa,1,2,0,Radial Velocity,2011,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,1.340000,0.060000,,,0,,,,K1 III,4826.00,4.87,1.34,1.063,3.19,4.300,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
7 CMa c,7 CMa,1,2,0,Radial Velocity,2019,Multiple Telescopes,Multiple Instruments,0,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,0.566000,0.080000,,,0,,,,K1III(+M),4826.00,4.87,1.34,1.063,3.19,4.300,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
70 Vir b,70 Vir,1,1,0,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,6.540000,0.398800,,,0,,,,G5V,5495.00,1.89,1.09,0.451,3.95,7.770,0.19024,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
75 Cet b,75 Cet,2,2,0,Radial Velocity,2012,1.88 m Telescope,HIDES Echelle Spectrograph,0,696.62000000,1.912000,13.300,1.180,787.89662,2.47900,1.840000,0.093000,,,0,,,,G3 III,4809.00,10.38,1.92,1.714,2.69,,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000
75 Cet c,75 Cet,2,2,0,Radial Velocity,2023,1.88 m Telescope,HIDES Echelle Spectrograph,0,2051.62000000,3.929000,13.900,1.240,289.85951,0.91200,0.593000,0.023000,,,0,,,,G3 III,4809.00,10.38,1.92,1.714,2.69,,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000
8 UMi b,8 UMi,1,1,0,Radial Velocity,2015,1.8 m Telescope,BOES Echelle Spectrograph,0,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,0.910000,0.060000,,,0,,,,K0,4847.00,10.30,1.44,1.725,2.57,1.700,,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000
81 Cet b,81 Cet,1,1,0,Radial Velocity,2008,1.88 m Telescope,HIDES Echelle Spectrograph,0,1005.57000000,2.104000,13.100,1.170,1051.05854,3.30700,2.570000,0.037000,,,0,,,,G5 III,4734.00,11.21,1.23,1.760,2.41,,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000
91 Aqr b,91 Aqr,3,1,0,Radial Velocity,2013,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,0,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,2.490000,0.027000,,,0,,,,K0 III,4665.00,11.00,1.40,1.692,2.52,3.560,,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000
AB Aur b,AB Aur,1,1,0,Imaging,2022,8.2 m Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,0,,93.900000,12.500,1.120,2860.45566,9.00000,8.050000,0.400000,,,0,,,,,9770.00,2.96,2.40,1.771,3.77,0.003,0.10330,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000
AB Pic b,AB Pic,1,1,0,Imaging,2005,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,260.000000,12.300,1.100,4290.50000,13.50000,12.700000,,,,0,,,,K2 V,5285.00,1.00,0.90,-0.226,4.53,0.030,1.12014,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000
AF Lep b,AF Lep,1,1,0,Imaging,2023,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,0,8030.00000000,8.400000,13.100,1.170,1017.05090,3.20000,2.490000,0.240000,,1400,0,,,,F8 V,6130.00,1.25,1.20,0.290,4.40,0.024,1.45415,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000
AU Mic b,AU Mic,1,3,0,Transit,2020,0.1 m TESS Telescope,TESS CCD Array,0,8.46299910,0.064500,3.957,0.353,20.12000,0.06330,1.320000,0.186000,21.20,600,1,0.1800,3.4927000,0.04960,M1,3665.00,0.82,0.50,-0.990,4.40,0.019,1.75000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
AU Mic c,AU Mic,1,3,0,Transit,2021,0.1 m TESS Telescope,TESS CCD Array,0,18.85899100,0.110100,3.240,0.289,9.60000,0.03020,1.220000,0.003380,7.30,459,0,0.3000,4.2360000,0.03950,M1,3665.00,0.82,0.50,-0.990,4.40,0.019,1.75000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
AU Mic d,AU Mic,1,3,0,Transit Timing Variations,2023,Multiple Telescopes,Multiple Instruments,0,12.73596000,,1.020,0.091,1.05300,0.00331,5.450000,0.003050,,,0,,,,M1,3678.00,0.74,0.51,-1.038,4.40,0.020,1.75000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,2017,Multiple Telescopes,Multiple Instruments,0,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,5.460000,0.200000,,,0,,,,,4095.00,32.35,1.14,2.700,1.89,5.200,,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,2009,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,0.691000,0.290000,,,0,,,,K2 V,4864.00,0.86,0.49,-0.320,4.26,,1.73113,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000
BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,2016,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,0.705000,0.001000,,,0,,,,G5,4649.00,8.95,1.08,1.570,2.61,7.410,,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000
BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,2013,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,0.754000,0.260000,,,0,,,,K0,4796.00,14.70,1.10,2.010,2.80,7.100,,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,2009,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,379.63000000,1.450000,12.100,1.080,6807.63000,21.42000,21.100000,0.150000,,,0,,,,K2 II,4137.00,49.00,2.80,3.170,1.51,,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,2009,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,11.400000,0.180000,,,0,,,,K2 II,4137.00,49.00,2.80,3.170,1.51,,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,2012,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,3.340000,0.210000,,,0,,,,K5 III,4296.00,17.30,0.80,1.960,1.99,,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000
BD+20 594 b,BD+20 594,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,7.890000,0.000000,,546,0,,,0.02204,G,5766.00,1.08,1.67,-0.056,4.50,3.340,1.89000,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,2021,1.93 m Telescope,SOPHIE Spectrograph,0,307.88000000,0.830000,13.600,1.210,432.24663,1.36000,0.944000,0.120000,,,0,,,,K1,5004.00,0.81,0.81,-0.399,4.22,,2.22951,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000
BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,2011,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,0.592000,0.200000,,,0,,,,K0 III,4414.00,11.00,0.74,1.690,2.24,,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000
BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,2018,Multiple Telescopes,Multiple Instruments,0,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,1.210000,0.760000,,,0,,,,K3 III,4534.00,10.33,1.09,1.640,2.48,,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000
BD+49 828 b,BD+49 828,1,1,0,Radial Velocity,2015,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,1.140000,0.350000,,,0,,,,K0,4943.00,7.60,1.52,1.470,2.85,2.340,,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000
BD+55 362 b,BD+55 362,1,1,0,Radial Velocity,2021,1.93 m Telescope,SOPHIE Spectrograph,0,265.59000000,0.780000,14.000,1.250,228.83645,0.72000,0.458000,0.270000,,,0,,,,K3,5012.00,0.90,0.91,-0.313,4.09,,1.66486,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000
BD+60 1417 b,BD+60 1417,1,1,0,Imaging,2021,0.4 m Telescope,HgCdTe and Si:As 1K Infrared Detectors,0,,1662.000000,14.684,1.310,4767.42610,15.00000,8.270000,,,1303,0,,,,K0,4993.00,0.80,1.00,0.356,4.55,0.100,2.30875,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000
BD+63 1405 b,BD+63 1405,1,1,0,Radial Velocity,2021,1.93 m Telescope,SOPHIE Spectrograph,0,1198.48000000,2.060000,12.400,1.110,3305.41543,10.40000,9.530000,0.880000,,,0,,,,K0,5000.00,0.80,0.82,-0.413,4.20,,2.29955,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000
BD-06 1339 b,BD-06 1339,1,2,0,Radial Velocity,2013,3.6 m ESO Telescope,HARPS Spectrograph,1,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,2.020000,0.000000,,,0,,,,K7/M0 V,4324.00,0.69,0.70,-1.022,4.74,4.400,2.74700,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000
BD-06 1339 c,BD-06 1339,1,2,0,Radial Velocity,2013,3.6 m ESO Telescope,HARPS Spectrograph,0,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,0.495000,0.310000,,,0,,,,K7/M0 V,4324.00,0.69,0.70,-1.022,4.74,4.400,2.74700,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000
BD-08 2823 b,BD-08 2823,1,2,0,Radial Velocity,2009,3.6 m ESO Telescope,HARPS Spectrograph,0,5.60000000,0.060000,3.610,0.322,12.71320,0.04000,1.480000,0.150000,,,0,,,,K3 V,4816.00,0.71,0.50,-0.626,4.43,4.500,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-08 2823 c,BD-08 2823,1,2,0,Radial Velocity,2009,3.6 m ESO Telescope,HARPS Spectrograph,0,237.60000000,0.680000,12.500,1.110,104.00000,0.33000,0.293000,0.190000,,,0,,,,K3 V,4746.00,0.72,0.74,-0.626,4.13,4.500,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,2000,10 m Keck I Telescope,HIRES Spectrometer,0,3.48777000,0.040000,14.100,1.260,187.51970,0.59000,0.368000,0.020000,,,0,,,,K0 V,5393.00,0.91,1.47,-0.191,4.69,1.000,1.53276,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000
BD-11 4672 b,BD-11 4672,1,2,0,Radial Velocity,2014,3.6 m ESO Telescope,HARPS Spectrograph,0,1634.00000000,2.360000,14.100,1.250,206.58950,0.65000,0.405000,0.050000,,,0,,,,K7 V,4550.00,0.64,0.65,-0.804,4.64,7.400,3.53000,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000
